cell_id,condition_id,cycle,efc,temperature,c_rate,dod,soh_observed,capacity_obs,resistance_growth,capacity_slope,resistance_slope,structure_q0_est,structure_fade_per_sqrt_efc,soh_true,final_soh,capacity_fade,final_resistance_growth,event_observed,lifetime_cycle,censor_cycle
T25_C1_D100_1,T25_C1_D100,300,300.0,25.0,1.0,100.0,0.9221743868450922,1.688653,0.18149451628744484,-0.0001709293741661122,0.00035445666845289586,1.8531483688774333,0.004989687381411961,0.911185,0.811362,0.18863799999999997,0.4804764089942013,False,1000,1000
T25_C1_D100_2,T25_C1_D100,300,300.0,25.0,1.0,100.0,0.9143939785307951,1.902751,0.18502970876016822,-0.00019402716430854137,0.00048011793441491194,2.0998744947763126,0.005468782099878815,0.903371,0.794764,0.20523599999999997,0.44546646367250275,True,971,1000
T25_C1_D100_3,T25_C1_D100,300,300.0,25.0,1.0,100.0,0.9139644102496164,1.924783,0.17813620418063913,-0.0001670455774556008,0.0003585382456604312,2.127122452806497,0.005345837448764812,0.907032,0.80254,0.19745999999999997,0.4304475378526844,False,1000,1000
T25_C1_D50_0,T25_C1_D50,300,150.0,25.0,1.0,50.0,0.9535469595912272,1.94361,0.10917112746738056,-7.87141440589458e-05,0.0002458372719172204,2.048352130674811,0.004045992215910467,0.95122,0.91094,0.08906000000000003,0.22187968495956434,False,1000,1000
T25_C1_D50_1,T25_C1_D50,300,150.0,25.0,1.0,50.0,0.9675357918429581,1.832283,0.10706559530248017,-0.00010096131255887266,0.00020191187008679904,1.9129810680704142,0.00394288226830571,0.948983,0.906856,0.093144,0.2342588819682947,False,1000,1000
T25_C1_D50_2,T25_C1_D50,300,150.0,25.0,1.0,50.0,0.94811586629963,1.925145,0.10723577943494944,-0.0001110712173263617,0.00025672044615017545,2.03765894407463,0.004349379256389733,0.947863,0.904812,0.09518800000000005,0.23411338490159617,False,1000,1000
T25_C1_D50_3,T25_C1_D50,300,150.0,25.0,1.0,50.0,0.9584483404662028,1.941432,0.1124996433564438,-0.00012813965447040543,0.00015104788746442846,2.045770342600023,0.0040116402882904465,0.950107,0.908907,0.09109299999999998,0.22988307786516637,False,1000,1000
T25_C2_D100_0,T25_C2_D100,300,300.0,25.0,2.0,100.0,0.905257356085209,1.736041,0.2036103480544571,-0.000209728186339607,0.0003724196490648518,1.9460159137070066,0.0062938012701974095,0.890856,0.768183,0.23181700000000005,0.45893383557156886,True,847,1000
T25_C2_D100_1,T25_C2_D100,300,300.0,25.0,2.0,100.0,0.9038719659790977,1.904404,0.19052473441356366,-0.00023536134641875066,0.00042487165338488846,2.1273011311788776,0.005889365873444003,0.897155,0.781562,0.21843800000000002,0.47042785997309977,True,905,1000
T25_C2_D100_2,T25_C2_D100,300,300.0,25.0,2.0,100.0,0.9237133582317281,1.729941,0.22537911173108927,-0.0001596131070992747,0.00048729851610909036,1.8989823408636353,0.005382582391246028,0.905403,0.799079,0.20092100000000002,0.5423759805445336,True,995,1000
T25_C2_D100_3,T25_C2_D100,300,300.0,25.0,2.0,100.0,0.9146441193335832,1.841512,0.21702395580514455,-0.00013918820544375798,0.00041246869398688183,2.036680455494558,0.005500615645985658,0.903646,0.795348,0.20465199999999995,0.5263179699637495,True,974,1000
T25_C2_D50_0,T25_C2_D50,300,150.0,25.0,2.0,50.0,0.949620747484062,1.868055,0.13204710598847402,-0.00010156047302727308,0.00028086019827239353,1.979281220877191,0.004585893984097532,0.943007,0.895945,0.10405500000000001,0.24781135272521881,False,1000,1000
T25_C2_D50_1,T25_C2_D50,300,150.0,25.0,2.0,50.0,0.9522022984300921,1.83246,0.13112903822669586,-9.677128931406156e-05,0.000232929446961643,1.9398155061886433,0.004443967459789026,0.94557,0.900624,0.09937600000000002,0.23424961897941565,False,1000,1000
T25_C2_D50_2,T25_C2_D50,300,150.0,25.0,2.0,50.0,0.9428379114165548,1.979244,0.1125580092814853,-0.00013903057622664195,0.00020661223587553173,2.1166644206849368,0.005138684217168164,0.939119,0.888847,0.11115299999999995,0.26313545557901574,False,1000,1000
T25_C2_D50_3,T25_C2_D50,300,150.0,25.0,2.0,50.0,0.9487495730663174,1.83196,0.13765059671287805,-7.623567852920485e-05,0.000247577156860806,1.9546363405928924,0.005097773300555293,0.938323,0.887394,0.11260599999999998,0.2470020805749953,False,1000,1000
T25_C2_D80_0,T25_C2_D80,300,240.0,25.0,2.0,80.0,0.9255961008396756,1.883875,0.19110019889418628,-0.00013487789959946327,0.0004357647058850385,2.0502675270103263,0.005222724857409321,0.918854,0.84228,0.15771999999999997,0.40906105100463663,False,1000,1000
T25_C2_D80_1,T25_C2_D80,300,240.0,25.0,2.0,80.0,0.9277815478699742,1.754074,0.17103622780204475,-0.00015902356813258812,0.000320193331401992,1.9108692960025635,0.005190541264982446,0.919751,0.844023,0.15597700000000003,0.3834333599658113,False,1000,1000
T25_C2_D80_2,T25_C2_D80,300,240.0,25.0,2.0,80.0,0.9312422075583378,1.707813,0.1702068812921782,-0.000164162879429371,0.0004036942028089275,1.8504594522157454,0.005000875272447277,0.922013,0.84842,0.15158000000000005,0.3853992051682895,False,1000,1000
T25_C2_D80_3,T25_C2_D80,300,240.0,25.0,2.0,80.0,0.9180160536032327,1.663838,0.19429016560947754,-0.00011970253672031291,0.00043546410545634254,1.8236851326037644,0.005563580915405143,0.916466,0.837639,0.16236099999999998,0.3813415605908914,False,1000,1000
T35_C0p5_D100_0,T35_C0p5_D100,300,300.0,35.0,0.5,100.0,0.9065424768537391,1.862482,0.2171485581627366,-0.00015629715658644776,0.00045910364141304495,2.0813865912658938,0.006123994292319363,0.894446,0.775807,0.22419299999999998,0.5241415680300012,True,879,1000
T35_C0p5_D100_1,T35_C0p5_D100,300,300.0,35.0,0.5,100.0,0.9129490080296517,1.748322,0.2107052166436727,-0.0001901974798950284,0.00047182248067047537,1.9545680720857515,0.006086717310699145,0.896032,0.779177,0.220823,0.5604600241471751,True,894,1000
T35_C0p5_D100_2,T35_C0p5_D100,300,300.0,35.0,0.5,100.0,0.8964810330554404,1.820913,0.22756268553022174,-0.00019329868567112335,0.0005680751417347423,2.060800517016129,0.0064906140871484,0.887932,0.761971,0.23802900000000005,0.5570565885354528,True,823,1000
T35_C0p5_D100_3,T35_C0p5_D100,300,300.0,35.0,0.5,100.0,0.9135525071271415,1.710073,0.21281065008047562,-0.00013080715313449885,0.00048543578203197514,1.8965780140634614,0.005658463829023779,0.901281,0.790324,0.20967599999999997,0.5596895174833003,True,948,1000
T35_C0p5_D50_0,T35_C0p5_D50,300,150.0,35.0,0.5,50.0,0.9450747715843234,1.966926,0.13391991790349866,-0.00014439370200636811,0.00034636157787307133,2.0970970271486857,0.00506703250065275,0.938807,0.888278,0.11172199999999999,0.27352102291468583,False,1000,1000
T35_C0p5_D50_1,T35_C0p5_D50,300,150.0,35.0,0.5,50.0,0.9431287497258077,1.898264,0.13307145778445673,-0.00017620337198154717,0.0002807325882342358,2.028686651267559,0.005223229282878993,0.936985,0.88495,0.11504999999999999,0.28112317860317715,False,1000,1000
T35_C0p5_D50_2,T35_C0p5_D50,300,150.0,35.0,0.5,50.0,0.9364359016940335,1.911585,0.11964287417610198,-0.0001346765876372496,0.00027305205791714236,2.0471983856385902,0.004834371243479197,0.939717,0.889938,0.110062,0.24388927442362562,False,1000,1000
T35_C0p5_D50_3,T35_C0p5_D50,300,150.0,35.0,0.5,50.0,0.9550279378879309,1.94917,0.11192952476356033,-9.058350973552153e-05,0.0002990728347163675,2.0641691070594415,0.004771314938637467,0.939979,0.890417,0.10958299999999999,0.2630608116148996,False,1000,1000
T35_C0p5_D80_0,T35_C0p5_D80,300,240.0,35.0,0.5,80.0,0.9251179365008625,1.754062,0.1731149624376096,-0.00018029925161783134,0.00040528942461843013,1.9163989801816992,0.005389742690980486,0.91786,0.840347,0.15965300000000004,0.39947294668813926,False,1000,1000
T35_C0p5_D80_1,T35_C0p5_D80,300,240.0,35.0,0.5,80.0,0.9145885975893456,1.77898,0.18504890872716673,-0.0001898325459488331,0.00038099536346251363,1.967277509612732,0.006118354293347064,0.904708,0.814785,0.18521500000000002,0.39892188730290123,False,1000,1000
T35_C0p5_D80_2,T35_C0p5_D80,300,240.0,35.0,0.5,80.0,0.9237928126321135,1.924005,0.1611453105934808,-0.0001314412419970108,0.0002861772218634321,2.10282708381625,0.0054471895597907665,0.915888,0.836514,0.16348600000000002,0.3943382449308195,False,1000,1000
T35_C0p5_D80_3,T35_C0p5_D80,300,240.0,35.0,0.5,80.0,0.9147811450224584,1.786928,0.17729754530855701,-0.0001567753307315583,0.0003158914102008941,1.9748940621543152,0.005961489866748029,0.906241,0.817765,0.18223500000000004,0.40260997449596947,False,1000,1000
T35_C1_D100_0,T35_C1_D100,300,300.0,35.0,1.0,100.0,0.9037319932658052,1.779498,0.25459472413220996,-0.00021534040832316647,0.000556562486119387,2.001583357167468,0.006642667911835942,0.883478,0.752513,0.247487,0.5706857573474,True,790,1000
T35_C1_D100_1,T35_C1_D100,300,300.0,35.0,1.0,100.0,0.8920962668224509,1.778265,0.24501341843765867,-0.00023107254123617244,0.0005745610464433684,2.0243794276060796,0.00672331580641657,0.883296,0.752126,0.24787400000000004,0.5919874457675622,True,788,1000
T35_C1_D100_2,T35_C1_D100,300,300.0,35.0,1.0,100.0,0.8981757383494532,1.622885,0.22782626875032652,-0.00020710141221796455,0.0005290643108109459,1.8393604844574964,0.006291066065134934,0.89086,0.768192,0.23180800000000001,0.5578989847500107,True,847,1000
T35_C1_D100_3,T35_C1_D100,300,300.0,35.0,1.0,100.0,0.9143367501425951,1.947679,0.23107784048945512,-0.00018227988312608453,0.0004335766065003809,2.1587288782984326,0.006138306747511761,0.891908,0.770418,0.22958199999999995,0.5630599078341014,True,856,1000
T35_C1_D50_0,T35_C1_D50,300,150.0,35.0,1.0,50.0,0.9375861049373538,1.945366,0.1175189145703206,-0.00014444061895073883,0.0002605274402644773,2.087386060383947,0.005225984137199216,0.936625,0.884293,0.115707,0.2708511191121339,False,1000,1000
T35_C1_D50_1,T35_C1_D50,300,150.0,35.0,1.0,50.0,0.9417953362322091,1.91551,0.14072269766531464,-0.00013235959948367778,0.0002759679628210078,2.0604990232699865,0.005113102935931636,0.936379,0.883844,0.11615600000000004,0.27624912648497557,False,1000,1000
T35_C1_D50_2,T35_C1_D50,300,150.0,35.0,1.0,50.0,0.9423867700987156,1.774977,0.14266550014581525,-9.696135770463564e-05,0.00020109389183304338,1.894556827699173,0.005222538055533304,0.936432,0.88394,0.11606000000000005,0.2848951378524862,False,1000,1000
T35_C1_D50_3,T35_C1_D50,300,150.0,35.0,1.0,50.0,0.9525687275086673,2.046562,0.13776019591221633,-0.00013157049340995145,0.00039171263834492944,2.1707520950834702,0.005088644896015381,0.936697,0.884426,0.11557399999999995,0.2698542718354129,False,1000,1000
T35_C1_D80_0,T35_C1_D80,300,240.0,35.0,1.0,80.0,0.9274357946589668,1.726086,0.19556106820018426,-0.00012796133944454358,0.0004742377603605743,1.8841480453488497,0.006005149087290797,0.905911,0.817123,0.18287699999999996,0.4390135568344211,False,1000,1000
T35_C1_D80_1,T35_C1_D80,300,240.0,35.0,1.0,80.0,0.9193883020067426,1.981268,0.2138732616647172,-0.00011336420616216963,0.0004225986014186537,2.1799855435707975,0.005832098893918203,0.910224,0.825505,0.17449499999999996,0.4401106344547301,False,1000,1000
T35_C1_D80_2,T35_C1_D80,300,240.0,35.0,1.0,80.0,0.9168630463154755,1.948069,0.1804986256449823,-0.00013733130902710792,0.00037600569624402164,2.145058626068593,0.0058463945446547705,0.913147,0.831187,0.168813,0.4505676769671241,False,1000,1000
T35_C1_D80_3,T35_C1_D80,300,240.0,35.0,1.0,80.0,0.936370702347805,1.737794,0.1834276767433458,-0.00014903840829221662,0.00033309280584808943,1.879154063895285,0.005384914311037164,0.914548,0.833911,0.16608900000000004,0.3845215340192769,False,1000,1000
T35_C2_D100_0,T35_C2_D100,300,300.0,35.0,2.0,100.0,0.8884377521176313,1.77021,0.2295936023944254,-0.00024548697964204256,0.0005548496672610707,2.025564220503152,0.007221240625161369,0.874706,0.73388,0.26612,0.6166515066478295,True,732,1000
T35_C2_D100_1,T35_C2_D100,300,300.0,35.0,2.0,100.0,0.8858981675682437,1.84878,0.22722750905644062,-0.0002657131474259973,0.0005529584998592202,2.1113800773238074,0.00727890060738085,0.874036,0.732458,0.26754199999999995,0.6154804790185959,True,728,1000
T35_C2_D100_2,T35_C2_D100,300,300.0,35.0,2.0,100.0,0.9019213779891563,1.842238,0.2338373790927175,-0.0002066339117466173,0.00041458788620505016,2.076976368680655,0.006604373806875039,0.885139,0.756041,0.24395900000000004,0.6317355637767412,True,802,1000
T35_C2_D100_3,T35_C2_D100,300,300.0,35.0,2.0,100.0,0.8912753386729306,1.708184,0.2359141008456842,-0.00019328107838300734,0.0005599379258485496,1.9470006824124417,0.007126296305018835,0.876218,0.737092,0.26290800000000003,0.5713150260302824,True,742,1000
T35_C2_D50_0,T35_C2_D50,300,150.0,35.0,2.0,50.0,0.9416259438902195,1.863893,0.15172106609763913,-0.0001834935153201081,0.0003492207640677252,1.9962699816774914,0.005396924492246457,0.931097,0.874201,0.125799,0.3066278680288059,False,1000,1000
T35_C2_D50_1,T35_C2_D50,300,150.0,35.0,2.0,50.0,0.9443332362971387,1.887962,0.14652876635387324,-0.00010235236284988513,0.0002525335477099596,2.0134481047394055,0.005347841111212377,0.935295,0.881866,0.11813399999999996,0.30947825229312564,False,1000,1000
T35_C2_D50_2,T35_C2_D50,300,150.0,35.0,2.0,50.0,0.9370245829086732,2.027248,0.15819472511529087,-0.00012045090166251908,0.00033918293119534066,2.1807279031264253,0.0058786912760932,0.924669,0.862465,0.13753499999999996,0.29881954037423086,False,1000,1000
T35_C2_D50_3,T35_C2_D50,300,150.0,35.0,2.0,50.0,0.940611507785443,1.772834,0.15294838348525008,-0.00013285939348311787,0.00028240105773164525,1.9087426159640026,0.005687855053749136,0.930132,0.872439,0.12756100000000004,0.29283647041426386,False,1000,1000
T35_C2_D80_0,T35_C2_D80,300,240.0,35.0,2.0,80.0,0.9005163767649761,1.655933,0.1989178736010535,-0.00020746877434864647,0.00044886582140768184,1.861958110139843,0.0070862851027998375,0.89274,0.791522,0.20847800000000005,0.4881526659158044,True,958,1000
T35_C2_D80_1,T35_C2_D80,300,240.0,35.0,2.0,80.0,0.9199946933830161,1.827293,0.23703469797161758,-0.0002234508043062051,0.00029527597978610425,2.0177332881832917,0.006191178167461639,0.903719,0.812864,0.18713599999999997,0.46899384753901563,False,1000,1000
T35_C2_D80_2,T35_C2_D80,300,240.0,35.0,2.0,80.0,0.9172212392304099,1.887955,0.2263751763046542,-0.00016267269754227678,0.0005137643524578109,2.087106338644694,0.006457361238239154,0.899503,0.804669,0.19533100000000003,0.4774924054128695,False,1000,1000
T35_C2_D80_3,T35_C2_D80,300,240.0,35.0,2.0,80.0,0.9101628300043534,1.914092,0.22196396832241305,-0.00016862847428364056,0.0004179287337566025,2.1355120495884714,0.006789693428477793,0.896521,0.798873,0.20112699999999994,0.4644481941092291,True,995,1000
T45_C0p5_D100_0,T45_C0p5_D100,300,300.0,45.0,0.5,100.0,0.8901864039314772,1.789576,0.26127206127206115,-0.0002222423438809066,0.0005712441088550107,2.049115096152871,0.007165752093278267,0.874881,0.734252,0.265748,0.6488697984490097,True,733,1000
T45_C0p5_D100_1,T45_C0p5_D100,300,300.0,45.0,0.5,100.0,0.8799357944578117,1.667074,0.2704112279631201,-0.0003020663562983072,0.0006230897782048482,1.9290933481805628,0.007653524005891969,0.869297,0.722393,0.27760700000000005,0.6573876218967325,True,702,1000
T45_C0p5_D100_2,T45_C0p5_D100,300,300.0,45.0,0.5,100.0,0.8787941275790102,1.904955,0.2454466109741711,-0.0002526157421406422,0.0004960420847624585,2.2030920623740675,0.007915627173770258,0.864765,0.712767,0.28723299999999996,0.6517710741026099,True,657,1000
T45_C0p5_D100_3,T45_C0p5_D100,300,300.0,45.0,0.5,100.0,0.888232074092089,1.681851,0.2562672459343627,-0.00026118042031538543,0.0005584523696307845,1.9299877652632322,0.007528803453781746,0.870234,0.724383,0.275617,0.6452053419017973,True,707,1000
T45_C0p5_D50_0,T45_C0p5_D50,300,150.0,45.0,0.5,50.0,0.9307691529073998,1.793117,0.18134560229445507,-0.00014391362569527778,0.0002825099670578883,1.9468283852358177,0.0061946547594223895,0.926976,0.866678,0.13332200000000005,0.3332664445960589,False,1000,1000
T45_C0p5_D50_1,T45_C0p5_D50,300,150.0,45.0,0.5,50.0,0.9390876648494377,1.862694,0.1520247516416906,-0.00015420998625136407,0.0003935607822442455,2.004216634001574,0.005818016682532957,0.929634,0.87153,0.12846999999999997,0.3332834096452566,False,1000,1000
T45_C0p5_D50_2,T45_C0p5_D50,300,150.0,45.0,0.5,50.0,0.9341928510507299,1.923923,0.15898552096148388,-0.00015567407032249724,0.00022454669049757278,2.0820798834773386,0.006021096362577748,0.925751,0.864441,0.13555899999999999,0.31838754219085597,False,1000,1000
T45_C0p5_D50_3,T45_C0p5_D50,300,150.0,45.0,0.5,50.0,0.9316380222249608,1.742512,0.15096032702783546,-0.00014444006999794523,0.0003444431565982345,1.8834252764143153,0.005690545803450312,0.929362,0.871032,0.12896799999999997,0.28849641829873773,False,1000,1000
T45_C0p5_D80_0,T45_C0p5_D80,300,240.0,45.0,0.5,80.0,0.896218932857878,1.872403,0.21484123894286045,-0.00021577196501973862,0.0004009456346770024,2.109690447480516,0.0069471024207594136,0.892285,0.790639,0.20936100000000002,0.4813326945048464,True,953,1000
T45_C0p5_D80_1,T45_C0p5_D80,300,240.0,45.0,0.5,80.0,0.9076462418540087,1.904697,0.21588973510582066,-0.00021840490097397244,0.0003983069959598877,2.1243591500873342,0.006724537659733717,0.896711,0.799242,0.200758,0.48245527134394006,True,996,1000
T45_C0p5_D80_2,T45_C0p5_D80,300,240.0,45.0,0.5,80.0,0.9116124305700308,1.784361,0.22387799901362548,-0.00019547936744947976,0.0004923292472368216,1.9825891760367955,0.0067093492331668555,0.896954,0.799714,0.20028599999999996,0.48708595634523744,True,999,1000
T45_C0p5_D80_3,T45_C0p5_D80,300,240.0,45.0,0.5,80.0,0.9131274347951905,1.871178,0.19561084553055608,-0.00017769442034480437,0.00041953363833402153,2.0793786395612375,0.006213923615008047,0.902303,0.810111,0.18988899999999997,0.46479938009109634,False,1000,1000
T45_C1_D100_0,T45_C1_D100,300,300.0,45.0,1.0,100.0,0.8858639995359574,1.748657,0.27747803435030227,-0.00022239132781330906,0.0006656671318595488,2.0022025911108843,0.00759054011848587,0.869478,0.722777,0.277223,0.6958126073980284,True,703,1000
T45_C1_D100_1,T45_C1_D100,300,300.0,45.0,1.0,100.0,0.8822226504653812,1.632055,0.2727086609776752,-0.0002334241501729112,0.0006147689281067599,1.8863795393343157,0.007985545697728596,0.860147,0.702958,0.29704200000000003,0.6970148398556122,True,614,1000
T45_C1_D100_2,T45_C1_D100,300,300.0,45.0,1.0,100.0,0.8776555440292492,1.669662,0.24050680573074557,-0.0003016677462362705,0.0005435741345092946,1.9352540146930792,0.0077425195874690975,0.86519,0.713669,0.286331,0.6423569233163444,True,661,1000
T45_C1_D100_3,T45_C1_D100,300,300.0,45.0,1.0,100.0,0.8737486645951453,1.744105,0.277193439693207,-0.0002925825783905478,0.0006212387718657183,2.032211141396832,0.008045740206427416,0.860862,0.704477,0.295523,0.6952993737589737,True,620,1000
T45_C1_D50_0,T45_C1_D50,300,150.0,45.0,1.0,50.0,0.9343313315995703,2.003105,0.150380857120874,-0.00013264362368792335,0.0003216005604561367,2.161001939220119,0.006153745978068291,0.92263,0.858742,0.141258,0.3208256988031657,False,1000,1000
T45_C1_D50_1,T45_C1_D50,300,150.0,45.0,1.0,50.0,0.9236243376948898,1.800813,0.15076503066234737,-0.00013979912289018283,0.00023908778017952038,1.9686008936407966,0.006473397667946315,0.922297,0.858134,0.14186600000000005,0.31312506443963284,False,1000,1000
T45_C1_D50_2,T45_C1_D50,300,150.0,45.0,1.0,50.0,0.938842745457943,2.039818,0.1695522503679603,-0.00015035322560614603,0.00029064119519086245,2.2009994830634354,0.005974767226777167,0.927669,0.867942,0.132058,0.32812041259713065,False,1000,1000
T45_C1_D50_3,T45_C1_D50,300,150.0,45.0,1.0,50.0,0.9271403926892038,1.803098,0.17507145006016867,-0.00015015034549354552,0.00038586157803505806,1.9642084017388097,0.006754532576910684,0.91603,0.846693,0.15330699999999997,0.3468063872255489,False,1000,1000
T45_C1_D80_0,T45_C1_D80,300,240.0,45.0,1.0,80.0,0.8968469765282088,1.758538,0.22443621265163216,-0.0002217448260221147,0.00043505156507672054,1.9912046516778201,0.0077032635949409655,0.879408,0.76561,0.23439,0.47964741590786253,True,826,1000
T45_C1_D80_1,T45_C1_D80,300,240.0,45.0,1.0,80.0,0.9036578200538706,1.783305,0.2398152682163397,-0.00018711902838234825,0.0005177377489455573,2.0009967414630663,0.006750823498982764,0.896302,0.798447,0.20155299999999998,0.5395000984058256,True,992,1000
T45_C1_D80_2,T45_C1_D80,300,240.0,45.0,1.0,80.0,0.9105322966965865,1.721512,0.2530997942574149,-0.00021069863604334524,0.0005053918351797307,1.9309850131020911,0.0071452041970917575,0.888049,0.782406,0.21759399999999995,0.5532553144211538,True,916,1000
T45_C1_D80_3,T45_C1_D80,300,240.0,45.0,1.0,80.0,0.9009238621676089,1.885835,0.2220769950962671,-0.0001870645598968664,0.0004998492006935874,2.119760399705717,0.007361743189600971,0.885512,0.777475,0.22252499999999997,0.49876707132018194,True,896,1000
T45_C2_D100_0,T45_C2_D100,300,300.0,45.0,2.0,100.0,0.873218777478119,1.56808,0.3199561087926319,-0.00020986014598535347,0.0006398112828983272,1.832347609740133,0.008632665216132441,0.851499,0.684591,0.31540900000000005,0.7680016218507528,True,545,1000
T45_C2_D100_1,T45_C2_D100,300,300.0,45.0,2.0,100.0,0.8600770683745321,1.636491,0.30272444819597366,-0.0002917167514948412,0.00061714847693889,1.947319459736336,0.008897729415919398,0.84393,0.668514,0.33148599999999995,0.73385724852071,True,493,1000
T45_C2_D100_2,T45_C2_D100,300,300.0,45.0,2.0,100.0,0.8625799619807178,1.620601,0.3160280331300629,-0.00028998909809100834,0.0007911744482903731,1.9155637964126893,0.008805097772990333,0.848185,0.677552,0.32244799999999996,0.7723636636130311,True,521,1000
T45_C2_D100_3,T45_C2_D100,300,300.0,45.0,2.0,100.0,0.8799687701185248,1.63202,0.2795098628646684,-0.000236227322222259,0.0006057271534934984,1.8891268160468833,0.008175599727037743,0.855538,0.693168,0.306832,0.6977782127826173,True,576,1000
T45_C2_D50_0,T45_C2_D50,300,150.0,45.0,2.0,50.0,0.9249480284563789,1.726551,0.16799836308762606,-0.00013073790465694313,0.00030631306007473946,1.8821592148768265,0.00711150925195784,0.91293,0.841033,0.15896699999999997,0.34987086561692937,False,1000,1000
T45_C2_D50_1,T45_C2_D50,300,150.0,45.0,2.0,50.0,0.9226251704707009,1.943664,0.17325645515493338,-0.00014620762136451128,0.00023886622508642727,2.130378192773255,0.007293932639275071,0.91187,0.839098,0.160902,0.3611197998123241,False,1000,1000
T45_C2_D50_2,T45_C2_D50,300,150.0,45.0,2.0,50.0,0.9243988335471137,1.869794,0.2029949263583073,-0.00013791230923656454,0.0004973876433010503,2.043364607280791,0.007140770229540545,0.912127,0.839567,0.16043300000000005,0.39812436533062545,False,1000,1000
T45_C2_D50_3,T45_C2_D50,300,150.0,45.0,2.0,50.0,0.9270472653441385,1.903076,0.16412119292480387,-0.00013108930985497794,0.0003521261568000205,2.0760734029737917,0.006488235719554768,0.920769,0.855345,0.14465499999999998,0.3809687531600767,False,1000,1000
T45_C2_D80_0,T45_C2_D80,300,240.0,45.0,2.0,80.0,0.8837493388920128,1.850591,0.23794422341386534,-0.0002280567737937691,0.0006092706370331418,2.134806024032572,0.008485386751157824,0.869741,0.74682,0.25317999999999996,0.5629007603279537,True,708,1000
