cell_id,condition_id,dod_pct,status,detected_knee_efc,nominal_knee_efc,max_observed_efc,sse,slope_before,slope_after,slope_axis,absolute_error_efc
T25_C0p5_D80_3,T25_C0p5_D80,80.0,DETECTED_IN_SIMULATION,712.8,700,800.0,0.00868518413339454,-0.004676958924040849,-0.009043314121697267,sqrt(EFC),12.799999999999955
T25_C1_D100_0,T25_C1_D100,100.0,DETECTED_IN_SIMULATION,696.0,700,1000.0,0.005979526299801164,-0.00557767759568686,-0.011237345408187677,sqrt(EFC),4.0
T25_C1_D100_1,T25_C1_D100,100.0,DETECTED_IN_SIMULATION,671.0,700,1000.0,0.007283062147193921,-0.005066961100765047,-0.01029645009011897,sqrt(EFC),29.0
T25_C1_D100_2,T25_C1_D100,100.0,DETECTED_IN_SIMULATION,686.0,700,1000.0,0.007072684677242197,-0.005534540911268202,-0.011159707076151628,sqrt(EFC),14.0
T25_C1_D100_3,T25_C1_D100,100.0,DETECTED_IN_SIMULATION,706.0,700,1000.0,0.005390318446472901,-0.005524348124635042,-0.010636276439374868,sqrt(EFC),6.0
T25_C1_D50_0,T25_C1_D50,50.0,RIGHT_CENSORED,,700,500.0,,,,,
T25_C1_D50_1,T25_C1_D50,50.0,RIGHT_CENSORED,,700,500.0,,,,,
T25_C1_D50_2,T25_C1_D50,50.0,RIGHT_CENSORED,,700,500.0,,,,,
T25_C1_D50_3,T25_C1_D50,50.0,RIGHT_CENSORED,,700,500.0,,,,,
T25_C2_D100_0,T25_C2_D100,100.0,DETECTED_IN_SIMULATION,696.0,700,1000.0,0.007001204855994981,-0.006403420472851621,-0.012862766060803077,sqrt(EFC),4.0
T25_C2_D100_1,T25_C2_D100,100.0,DETECTED_IN_SIMULATION,706.0,700,1000.0,0.006004403710905586,-0.00594643627329218,-0.01253579804195283,sqrt(EFC),6.0
T25_C2_D100_2,T25_C2_D100,100.0,DETECTED_IN_SIMULATION,696.0,700,1000.0,0.007467063661559709,-0.005456883635536371,-0.01143897597964821,sqrt(EFC),4.0
T25_C2_D100_3,T25_C2_D100,100.0,DETECTED_IN_SIMULATION,701.0,700,1000.0,0.006849364170867894,-0.005640150044680515,-0.011885159879416277,sqrt(EFC),1.0
T25_C2_D50_0,T25_C2_D50,50.0,RIGHT_CENSORED,,700,500.0,,,,,
T25_C2_D50_1,T25_C2_D50,50.0,RIGHT_CENSORED,,700,500.0,,,,,
T25_C2_D50_2,T25_C2_D50,50.0,RIGHT_CENSORED,,700,500.0,,,,,
T25_C2_D50_3,T25_C2_D50,50.0,RIGHT_CENSORED,,700,500.0,,,,,
T25_C2_D80_0,T25_C2_D80,80.0,DETECTED_IN_SIMULATION,728.8,700,800.0,0.007032186285226855,-0.005356087277830243,-0.014359554798538572,sqrt(EFC),28.799999999999955
T25_C2_D80_1,T25_C2_D80,80.0,DETECTED_IN_SIMULATION,696.8,700,800.0,0.008594559137008096,-0.005175345363321824,-0.010466843997749374,sqrt(EFC),3.2000000000000455
T25_C2_D80_2,T25_C2_D80,80.0,DETECTED_IN_SIMULATION,652.8,700,800.0,0.008892013703220273,-0.00512261743039323,-0.007366315853274895,sqrt(EFC),47.200000000000045
T25_C2_D80_3,T25_C2_D80,80.0,DETECTED_IN_SIMULATION,688.8,700,800.0,0.008870626063038877,-0.005474892396793589,-0.007882971492495701,sqrt(EFC),11.200000000000045
T35_C0p5_D100_0,T35_C0p5_D100,100.0,DETECTED_IN_SIMULATION,716.0,700,1000.0,0.0072211812716454,-0.006180965827356322,-0.012388711964328903,sqrt(EFC),16.0
T35_C0p5_D100_1,T35_C0p5_D100,100.0,DETECTED_IN_SIMULATION,686.0,700,1000.0,0.008481321087472954,-0.006004125356203757,-0.011906835784098103,sqrt(EFC),14.0
T35_C0p5_D100_2,T35_C0p5_D100,100.0,DETECTED_IN_SIMULATION,676.0,700,1000.0,0.006321021655574257,-0.0064882710624707155,-0.012660993572343553,sqrt(EFC),24.0
T35_C0p5_D100_3,T35_C0p5_D100,100.0,DETECTED_IN_SIMULATION,681.0,700,1000.0,0.00762303306715611,-0.005732513051194807,-0.01101097068418082,sqrt(EFC),19.0
T35_C0p5_D50_0,T35_C0p5_D50,50.0,RIGHT_CENSORED,,700,500.0,,,,,
T35_C0p5_D50_1,T35_C0p5_D50,50.0,RIGHT_CENSORED,,700,500.0,,,,,
T35_C0p5_D50_2,T35_C0p5_D50,50.0,RIGHT_CENSORED,,700,500.0,,,,,
T35_C0p5_D50_3,T35_C0p5_D50,50.0,RIGHT_CENSORED,,700,500.0,,,,,
T35_C0p5_D80_0,T35_C0p5_D80,80.0,DETECTED_IN_SIMULATION,624.8,700,800.0,0.00800022948202786,-0.00543117070957048,-0.0075569924433222715,sqrt(EFC),75.20000000000005
T35_C0p5_D80_1,T35_C0p5_D80,80.0,DETECTED_IN_SIMULATION,708.8,700,800.0,0.007063495780002781,-0.006198170978357691,-0.012050903831861972,sqrt(EFC),8.799999999999955
T35_C0p5_D80_2,T35_C0p5_D80,80.0,DETECTED_IN_SIMULATION,712.8,700,800.0,0.007788878015810681,-0.005548163655297356,-0.015068108990948284,sqrt(EFC),12.799999999999955
T35_C0p5_D80_3,T35_C0p5_D80,80.0,DETECTED_IN_SIMULATION,728.8,700,800.0,0.007693606669875362,-0.006147306349271118,-0.018477301705953342,sqrt(EFC),28.799999999999955
T35_C1_D100_0,T35_C1_D100,100.0,DETECTED_IN_SIMULATION,676.0,700,1000.0,0.008582244261274921,-0.006652128498070366,-0.013661644476282028,sqrt(EFC),24.0
T35_C1_D100_1,T35_C1_D100,100.0,DETECTED_IN_SIMULATION,686.0,700,1000.0,0.006989866223507719,-0.006836313062580656,-0.013067156537449158,sqrt(EFC),14.0
T35_C1_D100_2,T35_C1_D100,100.0,DETECTED_IN_SIMULATION,686.0,700,1000.0,0.008564897789186484,-0.006293882115814655,-0.012279460368119912,sqrt(EFC),14.0
T35_C1_D100_3,T35_C1_D100,100.0,DETECTED_IN_SIMULATION,736.0,700,1000.0,0.007149991944320141,-0.006375555756374297,-0.014245351363513709,sqrt(EFC),36.0
T35_C1_D50_0,T35_C1_D50,50.0,RIGHT_CENSORED,,700,500.0,,,,,
T35_C1_D50_1,T35_C1_D50,50.0,RIGHT_CENSORED,,700,500.0,,,,,
T35_C1_D50_2,T35_C1_D50,50.0,RIGHT_CENSORED,,700,500.0,,,,,
T35_C1_D50_3,T35_C1_D50,50.0,RIGHT_CENSORED,,700,500.0,,,,,
T35_C1_D80_0,T35_C1_D80,80.0,DETECTED_IN_SIMULATION,552.8,700,800.0,0.00868516935089447,-0.006067887393554844,-0.007518009137115967,sqrt(EFC),147.20000000000005
T35_C1_D80_1,T35_C1_D80,80.0,DETECTED_IN_SIMULATION,696.8,700,800.0,0.006854133601920027,-0.005864239493124315,-0.010829901731822215,sqrt(EFC),3.2000000000000455
T35_C1_D80_2,T35_C1_D80,80.0,DETECTED_IN_SIMULATION,620.8,700,800.0,0.006748773312624043,-0.005698166913087628,-0.007318781402055606,sqrt(EFC),79.20000000000005
T35_C1_D80_3,T35_C1_D80,80.0,DETECTED_IN_SIMULATION,672.8,700,800.0,0.007226359296035892,-0.005716515110712507,-0.008506893066288483,sqrt(EFC),27.200000000000045
T35_C2_D100_0,T35_C2_D100,100.0,DETECTED_IN_SIMULATION,696.0,700,1000.0,0.006757655120969293,-0.007267255475934621,-0.01488731704714083,sqrt(EFC),4.0
T35_C2_D100_1,T35_C2_D100,100.0,DETECTED_IN_SIMULATION,701.0,700,1000.0,0.006764302937920335,-0.0073852595531566055,-0.014490042208334787,sqrt(EFC),1.0
T35_C2_D100_2,T35_C2_D100,100.0,DETECTED_IN_SIMULATION,711.0,700,1000.0,0.006819055239467916,-0.006837529775059246,-0.013365210276303418,sqrt(EFC),11.0
T35_C2_D100_3,T35_C2_D100,100.0,DETECTED_IN_SIMULATION,681.0,700,1000.0,0.008619280900312,-0.007380095942821484,-0.0137610488952662,sqrt(EFC),19.0
T35_C2_D50_0,T35_C2_D50,50.0,RIGHT_CENSORED,,700,500.0,,,,,
T35_C2_D50_1,T35_C2_D50,50.0,RIGHT_CENSORED,,700,500.0,,,,,
T35_C2_D50_2,T35_C2_D50,50.0,RIGHT_CENSORED,,700,500.0,,,,,
T35_C2_D50_3,T35_C2_D50,50.0,RIGHT_CENSORED,,700,500.0,,,,,
T35_C2_D80_0,T35_C2_D80,80.0,DETECTED_IN_SIMULATION,668.8,700,800.0,0.007516557117116783,-0.006999280478192722,-0.01212095558407237,sqrt(EFC),31.200000000000045
T35_C2_D80_1,T35_C2_D80,80.0,DETECTED_IN_SIMULATION,688.8,700,800.0,0.007780883573865619,-0.006452443580176906,-0.010975235686524098,sqrt(EFC),11.200000000000045
T35_C2_D80_2,T35_C2_D80,80.0,DETECTED_IN_SIMULATION,708.8,700,800.0,0.0058754552492646765,-0.006767875638643106,-0.011277459264124011,sqrt(EFC),8.799999999999955
T35_C2_D80_3,T35_C2_D80,80.0,DETECTED_IN_SIMULATION,632.8,700,800.0,0.005251683268608143,-0.00676443862685245,-0.010831373527692853,sqrt(EFC),67.20000000000005
T45_C0p5_D100_0,T45_C0p5_D100,100.0,DETECTED_IN_SIMULATION,701.0,700,1000.0,0.006516738366600092,-0.007421081018016723,-0.014696410934681128,sqrt(EFC),1.0
T45_C0p5_D100_1,T45_C0p5_D100,100.0,DETECTED_IN_SIMULATION,721.0,700,1000.0,0.007766260297297397,-0.007662626441198958,-0.016347971991211234,sqrt(EFC),21.0
T45_C0p5_D100_2,T45_C0p5_D100,100.0,DETECTED_IN_SIMULATION,706.0,700,1000.0,0.006430247973181019,-0.008021495805939617,-0.01578841656413375,sqrt(EFC),6.0
T45_C0p5_D100_3,T45_C0p5_D100,100.0,DETECTED_IN_SIMULATION,666.0,700,1000.0,0.00825577557005146,-0.007517729718359364,-0.014123278451278518,sqrt(EFC),34.0
T45_C0p5_D50_0,T45_C0p5_D50,50.0,RIGHT_CENSORED,,700,500.0,,,,,
T45_C0p5_D50_1,T45_C0p5_D50,50.0,RIGHT_CENSORED,,700,500.0,,,,,
T45_C0p5_D50_2,T45_C0p5_D50,50.0,RIGHT_CENSORED,,700,500.0,,,,,
T45_C0p5_D50_3,T45_C0p5_D50,50.0,RIGHT_CENSORED,,700,500.0,,,,,
T45_C0p5_D80_0,T45_C0p5_D80,80.0,DETECTED_IN_SIMULATION,716.8,700,800.0,0.0060644227190823265,-0.007076190075315474,-0.01738590683416724,sqrt(EFC),16.799999999999955
T45_C0p5_D80_1,T45_C0p5_D80,80.0,DETECTED_IN_SIMULATION,700.8,700,800.0,0.006593653363652534,-0.0068473345450159595,-0.014948793371575356,sqrt(EFC),0.7999999999999545
T45_C0p5_D80_2,T45_C0p5_D80,80.0,DETECTED_IN_SIMULATION,668.8,700,800.0,0.007271387843762465,-0.006830797563761057,-0.009831574971576773,sqrt(EFC),31.200000000000045
T45_C0p5_D80_3,T45_C0p5_D80,80.0,DETECTED_IN_SIMULATION,712.8,700,800.0,0.006624171101500339,-0.006340773357362863,-0.016357699773694816,sqrt(EFC),12.799999999999955
T45_C1_D100_0,T45_C1_D100,100.0,DETECTED_IN_SIMULATION,701.0,700,1000.0,0.007446733423504835,-0.007673527446506711,-0.015025085526446724,sqrt(EFC),1.0
T45_C1_D100_1,T45_C1_D100,100.0,DETECTED_IN_SIMULATION,691.0,700,1000.0,0.007985696566718898,-0.00823267833765537,-0.01623090288904505,sqrt(EFC),9.0
T45_C1_D100_2,T45_C1_D100,100.0,DETECTED_IN_SIMULATION,691.0,700,1000.0,0.007866564851397863,-0.007852876042604944,-0.01547737798328343,sqrt(EFC),9.0
T45_C1_D100_3,T45_C1_D100,100.0,DETECTED_IN_SIMULATION,691.0,700,1000.0,0.006966101492581029,-0.008268929839305784,-0.015199228689147306,sqrt(EFC),9.0
T45_C1_D50_0,T45_C1_D50,50.0,RIGHT_CENSORED,,700,500.0,,,,,
T45_C1_D50_1,T45_C1_D50,50.0,RIGHT_CENSORED,,700,500.0,,,,,
T45_C1_D50_2,T45_C1_D50,50.0,RIGHT_CENSORED,,700,500.0,,,,,
T45_C1_D50_3,T45_C1_D50,50.0,RIGHT_CENSORED,,700,500.0,,,,,
T45_C1_D80_0,T45_C1_D80,80.0,DETECTED_IN_SIMULATION,704.8,700,800.0,0.008260919843973749,-0.007958823571941056,-0.01689039852406231,sqrt(EFC),4.7999999999999545
T45_C1_D80_1,T45_C1_D80,80.0,DETECTED_IN_SIMULATION,660.8,700,800.0,0.007023909615835758,-0.006828993878746696,-0.011266551156297601,sqrt(EFC),39.200000000000045
T45_C1_D80_2,T45_C1_D80,80.0,DETECTED_IN_SIMULATION,696.8,700,800.0,0.007908777411429114,-0.007396734991420168,-0.014852707684621717,sqrt(EFC),3.2000000000000455
T45_C1_D80_3,T45_C1_D80,80.0,DETECTED_IN_SIMULATION,708.8,700,800.0,0.006267328483575277,-0.007451583843776947,-0.016655929686441296,sqrt(EFC),8.799999999999955
T45_C2_D100_0,T45_C2_D100,100.0,DETECTED_IN_SIMULATION,701.0,700,1000.0,0.008525627707515684,-0.008667988791194337,-0.01753021813847537,sqrt(EFC),1.0
T45_C2_D100_1,T45_C2_D100,100.0,DETECTED_IN_SIMULATION,701.0,700,1000.0,0.0070464062088639425,-0.009270388430555282,-0.01852164246391661,sqrt(EFC),1.0
T45_C2_D100_2,T45_C2_D100,100.0,DETECTED_IN_SIMULATION,686.0,700,1000.0,0.009407009318160913,-0.008895122780938663,-0.017660529922358024,sqrt(EFC),14.0
T45_C2_D100_3,T45_C2_D100,100.0,DETECTED_IN_SIMULATION,686.0,700,1000.0,0.007212774826908637,-0.008412533041558269,-0.016731012259716148,sqrt(EFC),14.0
T45_C2_D50_0,T45_C2_D50,50.0,RIGHT_CENSORED,,700,500.0,,,,,
T45_C2_D50_1,T45_C2_D50,50.0,RIGHT_CENSORED,,700,500.0,,,,,
T45_C2_D50_2,T45_C2_D50,50.0,RIGHT_CENSORED,,700,500.0,,,,,
T45_C2_D50_3,T45_C2_D50,50.0,RIGHT_CENSORED,,700,500.0,,,,,
T45_C2_D80_0,T45_C2_D80,80.0,DETECTED_IN_SIMULATION,720.8,700,800.0,0.006839065401965396,-0.0086080570704982,-0.018901301934367155,sqrt(EFC),20.799999999999955
T45_C2_D80_1,T45_C2_D80,80.0,DETECTED_IN_SIMULATION,708.8,700,800.0,0.006144540567613952,-0.008135213600826766,-0.016995632416653222,sqrt(EFC),8.799999999999955
T45_C2_D80_2,T45_C2_D80,80.0,DETECTED_IN_SIMULATION,656.8,700,800.0,0.008287737862679055,-0.008026382448616134,-0.012047435673665605,sqrt(EFC),43.200000000000045
T45_C2_D80_3,T45_C2_D80,80.0,DETECTED_IN_SIMULATION,696.8,700,800.0,0.007336857198598217,-0.007748594991750858,-0.015971262208285916,sqrt(EFC),3.2000000000000455
baseline_0,baseline,80.0,DETECTED_IN_SIMULATION,712.8,700,800.0,0.008923533081754732,-0.005271273908254774,-0.014049368848180165,sqrt(EFC),12.799999999999955
baseline_1,baseline,80.0,DETECTED_IN_SIMULATION,720.8,700,800.0,0.007675848782470645,-0.004853412554085287,-0.016614130302326596,sqrt(EFC),20.799999999999955
baseline_2,baseline,80.0,DETECTED_IN_SIMULATION,696.8,700,800.0,0.006478561275777149,-0.004823993832099549,-0.010039786900899017,sqrt(EFC),3.2000000000000455
baseline_3,baseline,80.0,DETECTED_IN_SIMULATION,464.8,700,800.0,0.006386358737824174,-0.004644489532808427,-0.0054947885409857,sqrt(EFC),235.2
