seed,decision_mode,risk_set_cells,eligible_cells,eligible_rate,n_groups,max_feasible_groups,requested_groups,group_shortfall,decision_status,thresholds_relaxed,abstention_reasons,selected_cell_count,solver_status,selected_cell_ids
17007,INTERVAL_RISK,93,35,0.3763440860215054,8,8,8,0,ACCEPT_FIXED_GROUPS,False,NONE,32,Optimization terminated successfully. (HiGHS Status 7: Optimal),T25_C0p5_D100_0;T25_C0p5_D100_1;T25_C0p5_D100_3;T25_C1_D100_0;T25_C1_D100_1;T25_C1_D100_3;T25_C2_D100_0;T25_C2_D100_1;T25_C2_D100_2;T25_C2_D100_3;T25_C2_D80_0;T25_C2_D80_1;T25_C2_D80_3;T35_C0p5_D100_0;T35_C0p5_D100_1;T35_C0p5_D80_1;T35_C0p5_D80_2;T35_C1_D100_3;T35_C1_D80_1;T35_C1_D80_2;T35_C1_D80_3;T35_C2_D80_0;T35_C2_D80_1;T35_C2_D80_2;T45_C0p5_D80_0;T45_C0p5_D80_1;T45_C0p5_D80_2;T45_C0p5_D80_3;T45_C1_D80_0;T45_C1_D80_1;T45_C1_D80_2;T45_C1_D80_3
17008,INTERVAL_RISK,93,7,0.07526881720430108,1,1,8,7,ABSTAIN_INSUFFICIENT_FEASIBILITY,False,INSUFFICIENT_ELIGIBLE_CELLS,4,Optimization terminated successfully. (HiGHS Status 7: Optimal),T25_C2_D100_0;T35_C0p5_D100_1;T35_C1_D80_3;T35_C2_D80_3
17009,INTERVAL_RISK,94,71,0.7553191489361702,8,17,8,0,ACCEPT_FIXED_GROUPS,False,NONE,32,Optimization terminated successfully. (HiGHS Status 7: Optimal),T25_C0p5_D80_0;T25_C0p5_D80_1;T25_C0p5_D80_2;T25_C0p5_D80_3;T25_C2_D80_0;T25_C2_D80_1;T25_C2_D80_2;T25_C2_D80_3;T35_C0p5_D100_0;T35_C0p5_D100_1;T35_C0p5_D80_1;T35_C0p5_D80_2;T35_C1_D100_1;T35_C1_D50_3;T35_C2_D50_0;T35_C2_D50_1;T45_C0p5_D50_0;T45_C0p5_D50_1;T45_C0p5_D50_2;T45_C0p5_D50_3;T45_C0p5_D80_0;T45_C1_D50_0;T45_C1_D50_1;T45_C1_D50_2;T45_C1_D50_3;T45_C2_D50_1;T45_C2_D50_2;T45_C2_D50_3;baseline_0;baseline_1;baseline_2;baseline_3
17010,INTERVAL_RISK,93,17,0.1827956989247312,4,4,8,4,ABSTAIN_INSUFFICIENT_FEASIBILITY,False,INSUFFICIENT_ELIGIBLE_CELLS,16,Optimization terminated successfully. (HiGHS Status 7: Optimal),T25_C0p5_D100_2;T25_C1_D100_0;T25_C1_D100_2;T25_C1_D100_3;T25_C2_D100_0;T25_C2_D100_3;T35_C2_D80_0;T35_C2_D80_1;T35_C2_D80_2;T35_C2_D80_3;T45_C0p5_D80_0;T45_C0p5_D80_1;T45_C0p5_D80_2;T45_C0p5_D80_3;T45_C1_D80_0;T45_C1_D80_3
17011,INTERVAL_RISK,90,15,0.16666666666666666,3,3,8,5,ABSTAIN_INSUFFICIENT_FEASIBILITY,False,INSUFFICIENT_ELIGIBLE_CELLS,12,Optimization terminated successfully. (HiGHS Status 7: Optimal),T25_C0p5_D100_0;T25_C0p5_D100_1;T25_C1_D100_2;T35_C0p5_D100_2;T35_C2_D80_0;T35_C2_D80_1;T35_C2_D80_2;T35_C2_D80_3;T45_C0p5_D80_0;T45_C0p5_D80_3;T45_C1_D80_0;T45_C1_D80_3
17012,INTERVAL_RISK,95,22,0.23157894736842105,5,5,8,3,ABSTAIN_INSUFFICIENT_FEASIBILITY,False,INSUFFICIENT_ELIGIBLE_CELLS,20,Optimization terminated successfully. (HiGHS Status 7: Optimal),T25_C0p5_D100_3;T25_C1_D100_0;T25_C1_D100_1;T25_C1_D100_2;T25_C1_D100_3;T25_C2_D100_1;T25_C2_D100_3;T35_C0p5_D100_1;T35_C0p5_D80_3;T35_C1_D80_1;T35_C2_D80_0;T35_C2_D80_1;T35_C2_D80_3;T45_C0p5_D80_0;T45_C0p5_D80_1;T45_C0p5_D80_2;T45_C0p5_D80_3;T45_C1_D80_0;T45_C1_D80_2;T45_C1_D80_3
17013,INTERVAL_RISK,92,62,0.6739130434782609,8,15,8,0,ACCEPT_FIXED_GROUPS,False,NONE,32,Optimization terminated successfully. (HiGHS Status 7: Optimal),T25_C0p5_D100_2;T25_C0p5_D50_0;T25_C0p5_D80_1;T25_C0p5_D80_2;T25_C1_D100_2;T25_C1_D100_3;T25_C1_D50_3;T25_C2_D50_0;T25_C2_D80_1;T25_C2_D80_2;T35_C0p5_D100_0;T35_C0p5_D100_2;T35_C0p5_D50_3;T35_C0p5_D80_0;T35_C0p5_D80_2;T35_C1_D100_0;T35_C1_D50_1;T35_C1_D80_0;T35_C1_D80_2;T35_C1_D80_3;T35_C2_D50_3;T35_C2_D80_0;T35_C2_D80_1;T35_C2_D80_2;T45_C0p5_D80_0;T45_C0p5_D80_1;T45_C1_D50_2;T45_C1_D80_0;T45_C1_D80_1;T45_C1_D80_3;baseline_1;baseline_3
17014,INTERVAL_RISK,92,40,0.43478260869565216,8,10,8,0,ACCEPT_FIXED_GROUPS,False,NONE,32,Optimization terminated successfully. (HiGHS Status 7: Optimal),T25_C0p5_D100_0;T25_C0p5_D100_1;T25_C0p5_D100_2;T25_C0p5_D100_3;T25_C1_D100_0;T25_C1_D100_1;T25_C1_D100_2;T25_C1_D100_3;T25_C2_D100_3;T25_C2_D80_0;T25_C2_D80_1;T35_C0p5_D100_0;T35_C0p5_D100_2;T35_C0p5_D80_0;T35_C0p5_D80_1;T35_C0p5_D80_3;T35_C1_D80_0;T35_C1_D80_1;T35_C1_D80_2;T35_C1_D80_3;T35_C2_D80_0;T35_C2_D80_1;T35_C2_D80_2;T35_C2_D80_3;T45_C0p5_D80_0;T45_C0p5_D80_2;T45_C0p5_D80_3;T45_C1_D80_1;T45_C1_D80_3;T45_C2_D50_2;T45_C2_D50_3;T45_C2_D80_1
17015,INTERVAL_RISK,93,14,0.15053763440860216,3,3,8,5,ABSTAIN_INSUFFICIENT_FEASIBILITY,False,INSUFFICIENT_ELIGIBLE_CELLS,12,Optimization terminated successfully. (HiGHS Status 7: Optimal),T25_C0p5_D100_2;T25_C1_D100_0;T25_C2_D100_2;T35_C0p5_D100_0;T35_C0p5_D80_2;T35_C1_D100_3;T35_C1_D80_0;T45_C0p5_D50_1;T45_C1_D50_3;T45_C2_D50_0;T45_C2_D80_1;baseline_3
17016,INTERVAL_RISK,93,30,0.3225806451612903,7,7,8,1,ABSTAIN_INSUFFICIENT_FEASIBILITY,False,INSUFFICIENT_ELIGIBLE_CELLS,28,Optimization terminated successfully. (HiGHS Status 7: Optimal),T25_C0p5_D100_0;T25_C0p5_D100_2;T25_C0p5_D100_3;T25_C1_D100_0;T25_C1_D100_1;T25_C1_D100_2;T25_C1_D100_3;T25_C2_D100_0;T25_C2_D100_1;T25_C2_D100_2;T25_C2_D100_3;T35_C0p5_D100_0;T35_C0p5_D100_1;T35_C0p5_D100_2;T35_C0p5_D80_0;T35_C0p5_D80_2;T35_C1_D100_3;T35_C1_D80_0;T35_C1_D80_2;T35_C2_D80_0;T35_C2_D80_1;T35_C2_D80_2;T35_C2_D80_3;T45_C0p5_D80_0;T45_C0p5_D80_2;T45_C0p5_D80_3;T45_C1_D80_0;T45_C1_D80_2
17017,INTERVAL_RISK,93,21,0.22580645161290322,5,5,8,3,ABSTAIN_INSUFFICIENT_FEASIBILITY,False,INSUFFICIENT_ELIGIBLE_CELLS,20,Optimization terminated successfully. (HiGHS Status 7: Optimal),T25_C0p5_D100_2;T25_C1_D100_0;T25_C1_D100_2;T25_C1_D100_3;T25_C2_D100_2;T25_C2_D100_3;T35_C0p5_D100_1;T35_C0p5_D100_2;T35_C2_D80_0;T35_C2_D80_1;T35_C2_D80_2;T35_C2_D80_3;T45_C0p5_D80_0;T45_C0p5_D80_1;T45_C0p5_D80_2;T45_C0p5_D80_3;T45_C1_D80_0;T45_C1_D80_1;T45_C1_D80_2;T45_C1_D80_3
17018,INTERVAL_RISK,97,28,0.28865979381443296,7,7,8,1,ABSTAIN_INSUFFICIENT_FEASIBILITY,False,INSUFFICIENT_ELIGIBLE_CELLS,28,Optimization terminated successfully. (HiGHS Status 7: Optimal),T25_C0p5_D100_0;T25_C0p5_D100_1;T25_C0p5_D100_2;T25_C1_D100_0;T25_C1_D100_1;T25_C1_D100_2;T25_C1_D100_3;T25_C2_D100_0;T25_C2_D100_1;T25_C2_D100_2;T25_C2_D100_3;T35_C0p5_D100_0;T35_C0p5_D100_2;T35_C0p5_D100_3;T35_C1_D80_0;T35_C1_D80_2;T35_C2_D80_0;T35_C2_D80_1;T35_C2_D80_2;T35_C2_D80_3;T45_C0p5_D80_0;T45_C0p5_D80_1;T45_C0p5_D80_2;T45_C0p5_D80_3;T45_C1_D80_0;T45_C1_D80_1;T45_C1_D80_2;T45_C1_D80_3
17019,INTERVAL_RISK,91,42,0.46153846153846156,8,10,8,0,ACCEPT_FIXED_GROUPS,False,NONE,32,Optimization terminated successfully. (HiGHS Status 7: Optimal),T25_C0p5_D100_1;T25_C0p5_D80_3;T25_C1_D100_0;T25_C1_D100_2;T25_C1_D100_3;T25_C2_D100_0;T25_C2_D100_1;T25_C2_D100_2;T25_C2_D100_3;T25_C2_D80_1;T25_C2_D80_3;T35_C0p5_D100_1;T35_C0p5_D100_3;T35_C0p5_D80_0;T35_C0p5_D80_2;T35_C0p5_D80_3;T35_C1_D100_3;T35_C1_D80_0;T35_C1_D80_1;T35_C1_D80_2;T35_C1_D80_3;T35_C2_D80_1;T35_C2_D80_3;T45_C0p5_D80_0;T45_C0p5_D80_1;T45_C0p5_D80_2;T45_C1_D50_3;T45_C1_D80_0;T45_C1_D80_1;T45_C2_D50_0;T45_C2_D50_1;T45_C2_D80_3
17020,INTERVAL_RISK,93,23,0.24731182795698925,5,5,8,3,ABSTAIN_INSUFFICIENT_FEASIBILITY,False,INSUFFICIENT_ELIGIBLE_CELLS,20,Optimization terminated successfully. (HiGHS Status 7: Optimal),T25_C0p5_D100_1;T25_C0p5_D100_2;T25_C1_D100_0;T25_C1_D100_1;T25_C1_D100_2;T25_C1_D100_3;T25_C2_D100_1;T25_C2_D100_2;T35_C0p5_D100_2;T35_C1_D100_1;T35_C1_D80_2;T35_C2_D80_2;T45_C0p5_D80_0;T45_C0p5_D80_1;T45_C0p5_D80_2;T45_C0p5_D80_3;T45_C1_D80_1;T45_C1_D80_2;T45_C1_D80_3;T45_C2_D80_1
17021,INTERVAL_RISK,93,41,0.44086021505376344,8,10,8,0,ACCEPT_FIXED_GROUPS,False,NONE,32,Optimization terminated successfully. (HiGHS Status 7: Optimal),T25_C0p5_D100_0;T25_C0p5_D100_1;T25_C0p5_D100_2;T25_C0p5_D100_3;T25_C1_D100_0;T25_C1_D100_1;T25_C1_D100_2;T25_C2_D100_1;T25_C2_D100_2;T25_C2_D100_3;T25_C2_D80_2;T35_C0p5_D100_1;T35_C0p5_D100_2;T35_C0p5_D100_3;T35_C0p5_D80_0;T35_C0p5_D80_1;T35_C0p5_D80_2;T35_C0p5_D80_3;T35_C1_D100_1;T35_C1_D80_0;T35_C1_D80_1;T35_C1_D80_2;T35_C1_D80_3;T35_C2_D80_0;T35_C2_D80_1;T35_C2_D80_2;T35_C2_D80_3;T45_C0p5_D80_0;T45_C0p5_D80_3;T45_C1_D80_0;T45_C1_D80_3;baseline_1
17022,INTERVAL_RISK,95,44,0.4631578947368421,8,11,8,0,ACCEPT_FIXED_GROUPS,False,NONE,32,Optimization terminated successfully. (HiGHS Status 7: Optimal),T25_C0p5_D100_0;T25_C0p5_D100_1;T25_C0p5_D100_2;T25_C0p5_D100_3;T25_C1_D100_0;T25_C1_D100_2;T25_C1_D100_3;T25_C2_D100_0;T25_C2_D100_1;T25_C2_D100_2;T25_C2_D80_0;T25_C2_D80_1;T25_C2_D80_2;T35_C0p5_D100_3;T35_C0p5_D80_0;T35_C0p5_D80_1;T35_C0p5_D80_2;T35_C0p5_D80_3;T35_C1_D100_1;T35_C1_D80_0;T35_C1_D80_1;T35_C1_D80_2;T35_C1_D80_3;T35_C2_D80_0;T35_C2_D80_1;T35_C2_D80_2;T45_C0p5_D80_3;T45_C1_D80_0;T45_C1_D80_1;T45_C2_D50_1;T45_C2_D50_2;T45_C2_D50_3
17023,INTERVAL_RISK,93,18,0.1935483870967742,4,4,8,4,ABSTAIN_INSUFFICIENT_FEASIBILITY,False,INSUFFICIENT_ELIGIBLE_CELLS,16,Optimization terminated successfully. (HiGHS Status 7: Optimal),T25_C0p5_D100_1;T25_C1_D100_0;T25_C1_D100_1;T25_C1_D100_2;T25_C1_D100_3;T25_C2_D100_0;T35_C0p5_D100_2;T35_C1_D80_0;T35_C2_D80_1;T35_C2_D80_2;T35_C2_D80_3;T45_C0p5_D80_2;T45_C0p5_D80_3;T45_C1_D80_0;T45_C1_D80_1;T45_C1_D80_3
17024,INTERVAL_RISK,93,43,0.46236559139784944,8,10,8,0,ACCEPT_FIXED_GROUPS,False,NONE,32,Optimization terminated successfully. (HiGHS Status 7: Optimal),T25_C0p5_D100_1;T25_C0p5_D100_2;T25_C0p5_D100_3;T25_C0p5_D80_0;T25_C1_D100_0;T25_C1_D100_1;T25_C1_D100_2;T25_C1_D100_3;T25_C2_D100_1;T25_C2_D100_2;T25_C2_D80_0;T25_C2_D80_1;T25_C2_D80_3;T35_C0p5_D100_2;T35_C0p5_D80_0;T35_C0p5_D80_1;T35_C0p5_D80_2;T35_C0p5_D80_3;T35_C1_D100_3;T35_C1_D80_0;T35_C1_D80_1;T35_C1_D80_2;T35_C1_D80_3;T35_C2_D80_1;T35_C2_D80_3;T45_C0p5_D50_2;T45_C0p5_D80_0;T45_C0p5_D80_1;T45_C0p5_D80_2;T45_C1_D80_3;T45_C2_D50_1;baseline_0
17025,INTERVAL_RISK,93,27,0.2903225806451613,6,6,8,2,ABSTAIN_INSUFFICIENT_FEASIBILITY,False,INSUFFICIENT_ELIGIBLE_CELLS,24,Optimization terminated successfully. (HiGHS Status 7: Optimal),T25_C0p5_D100_0;T25_C0p5_D100_1;T25_C1_D100_0;T25_C1_D100_1;T25_C1_D100_2;T25_C2_D100_0;T25_C2_D100_1;T25_C2_D80_3;T35_C0p5_D100_0;T35_C0p5_D100_2;T35_C0p5_D80_1;T35_C1_D100_0;T35_C1_D100_2;T35_C1_D80_2;T35_C2_D80_0;T35_C2_D80_1;T35_C2_D80_3;T45_C0p5_D80_0;T45_C0p5_D80_1;T45_C0p5_D80_3;T45_C1_D80_0;T45_C1_D80_1;T45_C1_D80_2;T45_C1_D80_3
