cell_id,cycle,efc,temperature,c_rate,dod,protocol,capacity_true,capacity_obs,soh,resistance_true,resistance_obs,seed
baseline_0,31,24.8,25,1.0,80,CC-CV,1.904345,1.900812,0.974769,0.050279,0.050247,42
baseline_0,32,25.6,25,1.0,80,CC-CV,1.903557,1.878143,0.974365,0.050322,0.049773,42
baseline_0,33,26.4,25,1.0,80,CC-CV,1.90278,1.886348,0.973967,0.050365,0.048508,42
baseline_0,34,27.2,25,1.0,80,CC-CV,1.902015,1.907307,0.973576,0.050407,0.051241,42
baseline_0,35,28.0,25,1.0,80,CC-CV,1.901262,1.8957,0.97319,0.050448,0.049602,42
baseline_0,36,28.8,25,1.0,80,CC-CV,1.900519,1.902592,0.97281,0.050489,0.051254,42
baseline_0,37,29.6,25,1.0,80,CC-CV,1.899786,1.923486,0.972435,0.050529,0.050468,42
baseline_0,38,30.4,25,1.0,80,CC-CV,1.899063,1.89484,0.972065,0.050569,0.05128,42
baseline_0,39,31.2,25,1.0,80,CC-CV,1.89835,1.907697,0.9717,0.050608,0.048612,42
baseline_0,40,32.0,25,1.0,80,CC-CV,1.897645,1.919733,0.971339,0.050647,0.049922,42
baseline_0,41,32.8,25,1.0,80,CC-CV,1.89695,1.897659,0.970983,0.050685,0.050022,42
baseline_0,42,33.6,25,1.0,80,CC-CV,1.896263,1.901877,0.970631,0.050723,0.051025,42
baseline_0,43,34.4,25,1.0,80,CC-CV,1.895584,1.874996,0.970284,0.05076,0.049218,42
baseline_0,44,35.2,25,1.0,80,CC-CV,1.894912,1.901945,0.96994,0.050797,0.052221,42
baseline_0,45,36.0,25,1.0,80,CC-CV,1.894249,1.882477,0.9696,0.050833,0.050561,42
baseline_0,46,36.8,25,1.0,80,CC-CV,1.893593,1.88472,0.969265,0.050869,0.050837,42
baseline_0,47,37.6,25,1.0,80,CC-CV,1.892943,1.901554,0.968932,0.050905,0.052043,42
baseline_0,48,38.4,25,1.0,80,CC-CV,1.892301,1.869028,0.968603,0.05094,0.051094,42
baseline_0,49,39.2,25,1.0,80,CC-CV,1.891665,1.878337,0.968278,0.050975,0.050667,42
baseline_0,50,40.0,25,1.0,80,CC-CV,1.891036,1.892985,0.967956,0.05101,0.050393,42
baseline_0,51,40.8,25,1.0,80,CC-CV,1.890413,1.899377,0.967637,0.051044,0.050112,42
baseline_0,52,41.6,25,1.0,80,CC-CV,1.889796,1.912134,0.967321,0.051078,0.051075,42
baseline_0,53,42.4,25,1.0,80,CC-CV,1.889186,1.895504,0.967009,0.051111,0.051153,42
baseline_0,54,43.2,25,1.0,80,CC-CV,1.88858,1.916463,0.966699,0.051145,0.051445,42
baseline_0,55,44.0,25,1.0,80,CC-CV,1.887981,1.912414,0.966392,0.051178,0.049401,42
baseline_0,56,44.8,25,1.0,80,CC-CV,1.887387,1.875624,0.966088,0.05121,0.052171,42
baseline_0,57,45.6,25,1.0,80,CC-CV,1.886798,1.899296,0.965786,0.051243,0.050818,42
baseline_0,58,46.4,25,1.0,80,CC-CV,1.886214,1.896104,0.965488,0.051275,0.052571,42
baseline_0,59,47.2,25,1.0,80,CC-CV,1.885635,1.906384,0.965191,0.051306,0.05145,42
baseline_0,60,48.0,25,1.0,80,CC-CV,1.885061,1.903153,0.964898,0.051338,0.051798,42
baseline_0,61,48.8,25,1.0,80,CC-CV,1.884492,1.878685,0.964606,0.051369,0.050512,42
baseline_0,62,49.6,25,1.0,80,CC-CV,1.883928,1.881589,0.964317,0.0514,0.052729,42
baseline_0,63,50.4,25,1.0,80,CC-CV,1.883368,1.881201,0.964031,0.051431,0.051459,42
baseline_0,64,51.2,25,1.0,80,CC-CV,1.882812,1.875676,0.963746,0.051461,0.051727,42
baseline_0,65,52.0,25,1.0,80,CC-CV,1.882261,1.859756,0.963464,0.051492,0.051781,42
baseline_0,66,52.8,25,1.0,80,CC-CV,1.881714,1.88901,0.963184,0.051522,0.052121,42
baseline_0,67,53.6,25,1.0,80,CC-CV,1.881171,1.866496,0.962906,0.051552,0.052337,42
baseline_0,68,54.4,25,1.0,80,CC-CV,1.880632,1.890849,0.962631,0.051581,0.052379,42
baseline_0,69,55.2,25,1.0,80,CC-CV,1.880098,1.901641,0.962357,0.05161,0.051622,42
baseline_0,70,56.0,25,1.0,80,CC-CV,1.879567,1.866214,0.962085,0.05164,0.051409,42
baseline_0,71,56.8,25,1.0,80,CC-CV,1.879039,1.858479,0.961815,0.051669,0.050281,42
baseline_0,72,57.6,25,1.0,80,CC-CV,1.878516,1.866808,0.961547,0.051697,0.049932,42
baseline_0,73,58.4,25,1.0,80,CC-CV,1.877996,1.871431,0.961281,0.051726,0.052023,42
baseline_0,74,59.2,25,1.0,80,CC-CV,1.87748,1.847651,0.961017,0.051754,0.050344,42
baseline_0,75,60.0,25,1.0,80,CC-CV,1.876967,1.877458,0.960754,0.051782,0.05168,42
baseline_0,76,60.8,25,1.0,80,CC-CV,1.876457,1.863833,0.960494,0.05181,0.052021,42
baseline_0,77,61.6,25,1.0,80,CC-CV,1.875951,1.880834,0.960235,0.051838,0.051901,42
baseline_0,78,62.4,25,1.0,80,CC-CV,1.875448,1.869826,0.959977,0.051866,0.050418,42
baseline_0,79,63.2,25,1.0,80,CC-CV,1.874949,1.863817,0.959721,0.051893,0.051351,42
baseline_0,80,64.0,25,1.0,80,CC-CV,1.874452,1.872596,0.959467,0.051921,0.050842,42
baseline_0,81,64.8,25,1.0,80,CC-CV,1.873959,1.870711,0.959215,0.051948,0.051529,42
baseline_0,82,65.6,25,1.0,80,CC-CV,1.873468,1.883141,0.958964,0.051975,0.051092,42
baseline_0,83,66.4,25,1.0,80,CC-CV,1.872981,1.859118,0.958714,0.052001,0.051561,42
baseline_0,84,67.2,25,1.0,80,CC-CV,1.872497,1.879336,0.958466,0.052028,0.051021,42
baseline_0,85,68.0,25,1.0,80,CC-CV,1.872015,1.875858,0.95822,0.052054,0.053104,42
baseline_0,86,68.8,25,1.0,80,CC-CV,1.871536,1.885144,0.957975,0.052081,0.051675,42
baseline_0,87,69.6,25,1.0,80,CC-CV,1.87106,1.866182,0.957731,0.052107,0.051977,42
baseline_0,88,70.4,25,1.0,80,CC-CV,1.870587,1.877358,0.957489,0.052133,0.053297,42
baseline_0,89,71.2,25,1.0,80,CC-CV,1.870117,1.853857,0.957248,0.052159,0.053519,42
baseline_0,90,72.0,25,1.0,80,CC-CV,1.869649,1.861498,0.957009,0.052184,0.05228,42
baseline_0,91,72.8,25,1.0,80,CC-CV,1.869183,1.882275,0.95677,0.05221,0.051995,42
baseline_0,92,73.6,25,1.0,80,CC-CV,1.868721,1.866515,0.956533,0.052235,0.053373,42
baseline_0,93,74.4,25,1.0,80,CC-CV,1.86826,1.885628,0.956298,0.052261,0.052181,42
baseline_0,94,75.2,25,1.0,80,CC-CV,1.867803,1.882707,0.956064,0.052286,0.052326,42
baseline_0,95,76.0,25,1.0,80,CC-CV,1.867347,1.887391,0.95583,0.052311,0.052021,42
baseline_0,96,76.8,25,1.0,80,CC-CV,1.866894,1.882883,0.955599,0.052336,0.050222,42
baseline_0,97,77.6,25,1.0,80,CC-CV,1.866444,1.880815,0.955368,0.05236,0.052418,42
baseline_0,98,78.4,25,1.0,80,CC-CV,1.865995,1.875082,0.955138,0.052385,0.052854,42
baseline_0,99,79.2,25,1.0,80,CC-CV,1.865549,1.855671,0.95491,0.052409,0.052035,42
baseline_0,100,80.0,25,1.0,80,CC-CV,1.865106,1.839468,0.954683,0.052434,0.053669,42
baseline_0,101,80.8,25,1.0,80,CC-CV,1.864664,1.871073,0.954457,0.052458,0.054307,42
baseline_0,102,81.6,25,1.0,80,CC-CV,1.864225,1.862755,0.954232,0.052482,0.052108,42
baseline_0,103,82.4,25,1.0,80,CC-CV,1.863787,1.872283,0.954008,0.052506,0.053485,42
baseline_0,104,83.2,25,1.0,80,CC-CV,1.863352,1.880913,0.953786,0.05253,0.051851,42
baseline_0,105,84.0,25,1.0,80,CC-CV,1.862919,1.859648,0.953564,0.052554,0.053494,42
baseline_0,106,84.8,25,1.0,80,CC-CV,1.862488,1.835985,0.953343,0.052578,0.053448,42
baseline_0,107,85.6,25,1.0,80,CC-CV,1.862059,1.871455,0.953124,0.052601,0.05177,42
baseline_0,108,86.4,25,1.0,80,CC-CV,1.861632,1.875967,0.952905,0.052625,0.05403,42
baseline_0,109,87.2,25,1.0,80,CC-CV,1.861207,1.85643,0.952688,0.052648,0.052636,42
baseline_0,110,88.0,25,1.0,80,CC-CV,1.860784,1.861191,0.952471,0.052671,0.053076,42
baseline_0,111,88.8,25,1.0,80,CC-CV,1.860363,1.851783,0.952256,0.052694,0.052819,42
baseline_0,112,89.6,25,1.0,80,CC-CV,1.859944,1.882926,0.952041,0.052717,0.052357,42
baseline_0,113,90.4,25,1.0,80,CC-CV,1.859527,1.842488,0.951827,0.05274,0.053001,42
baseline_0,114,91.2,25,1.0,80,CC-CV,1.859111,1.861486,0.951615,0.052763,0.053069,42
baseline_0,115,92.0,25,1.0,80,CC-CV,1.858697,1.8678,0.951403,0.052786,0.052471,42
baseline_0,116,92.8,25,1.0,80,CC-CV,1.858286,1.877523,0.951192,0.052808,0.05371,42
baseline_0,117,93.6,25,1.0,80,CC-CV,1.857875,1.87556,0.950982,0.052831,0.052308,42
baseline_0,118,94.4,25,1.0,80,CC-CV,1.857467,1.87233,0.950773,0.052853,0.052445,42
baseline_0,119,95.2,25,1.0,80,CC-CV,1.85706,1.860213,0.950565,0.052876,0.051922,42
baseline_0,120,96.0,25,1.0,80,CC-CV,1.856655,1.88518,0.950358,0.052898,0.052669,42
baseline_0,121,96.8,25,1.0,80,CC-CV,1.856252,1.858286,0.950151,0.05292,0.052273,42
baseline_0,122,97.6,25,1.0,80,CC-CV,1.855851,1.880378,0.949946,0.052942,0.053124,42
baseline_0,123,98.4,25,1.0,80,CC-CV,1.855451,1.867576,0.949741,0.052964,0.053457,42
baseline_0,124,99.2,25,1.0,80,CC-CV,1.855052,1.858986,0.949537,0.052986,0.051943,42
baseline_0,125,100.0,25,1.0,80,CC-CV,1.854656,1.858603,0.949334,0.053008,0.051966,42
baseline_0,126,100.8,25,1.0,80,CC-CV,1.85426,1.849145,0.949132,0.053029,0.052339,42
baseline_0,127,101.6,25,1.0,80,CC-CV,1.853867,1.866227,0.94893,0.053051,0.052775,42
baseline_0,128,102.4,25,1.0,80,CC-CV,1.853475,1.847942,0.94873,0.053073,0.052042,42
baseline_0,129,103.2,25,1.0,80,CC-CV,1.853084,1.837029,0.94853,0.053094,0.053998,42
baseline_0,130,104.0,25,1.0,80,CC-CV,1.852695,1.843767,0.948331,0.053115,0.053773,42
baseline_0,131,104.8,25,1.0,80,CC-CV,1.852308,1.852567,0.948132,0.053137,0.053361,42
baseline_0,132,105.6,25,1.0,80,CC-CV,1.851922,1.854373,0.947935,0.053158,0.054004,42
baseline_0,133,106.4,25,1.0,80,CC-CV,1.851537,1.841086,0.947738,0.053179,0.053348,42
baseline_0,134,107.2,25,1.0,80,CC-CV,1.851154,1.851352,0.947542,0.0532,0.052734,42
baseline_0,135,108.0,25,1.0,80,CC-CV,1.850772,1.848866,0.947346,0.053221,0.052809,42
baseline_0,136,108.8,25,1.0,80,CC-CV,1.850392,1.835757,0.947152,0.053242,0.053892,42
baseline_0,137,109.6,25,1.0,80,CC-CV,1.850013,1.849939,0.946958,0.053263,0.05365,42
baseline_0,138,110.4,25,1.0,80,CC-CV,1.849636,1.849822,0.946765,0.053283,0.054034,42
baseline_0,139,111.2,25,1.0,80,CC-CV,1.84926,1.846968,0.946572,0.053304,0.053395,42
baseline_0,140,112.0,25,1.0,80,CC-CV,1.848885,1.860953,0.94638,0.053325,0.052681,42
baseline_0,141,112.8,25,1.0,80,CC-CV,1.848511,1.85219,0.946189,0.053345,0.053602,42
baseline_0,142,113.6,25,1.0,80,CC-CV,1.848139,1.852286,0.945999,0.053366,0.053775,42
baseline_0,143,114.4,25,1.0,80,CC-CV,1.847768,1.868461,0.945809,0.053386,0.053999,42
baseline_0,144,115.2,25,1.0,80,CC-CV,1.847399,1.845244,0.94562,0.053406,0.054127,42
baseline_0,145,116.0,25,1.0,80,CC-CV,1.847031,1.857842,0.945431,0.053427,0.053946,42
baseline_0,146,116.8,25,1.0,80,CC-CV,1.846664,1.814569,0.945243,0.053447,0.053815,42
baseline_0,147,117.6,25,1.0,80,CC-CV,1.846298,1.837627,0.945056,0.053467,0.054336,42
baseline_0,148,118.4,25,1.0,80,CC-CV,1.845933,1.840487,0.94487,0.053487,0.051906,42
baseline_0,149,119.2,25,1.0,80,CC-CV,1.84557,1.853613,0.944684,0.053507,0.051724,42
baseline_0,150,120.0,25,1.0,80,CC-CV,1.845208,1.831793,0.944498,0.053527,0.055452,42
baseline_0,151,120.8,25,1.0,80,CC-CV,1.844847,1.853801,0.944314,0.053546,0.053535,42
baseline_0,152,121.6,25,1.0,80,CC-CV,1.844488,1.83167,0.944129,0.053566,0.053126,42
baseline_0,153,122.4,25,1.0,80,CC-CV,1.844129,1.835348,0.943946,0.053586,0.052498,42
baseline_0,154,123.2,25,1.0,80,CC-CV,1.843772,1.812139,0.943763,0.053605,0.053551,42
baseline_0,155,124.0,25,1.0,80,CC-CV,1.843416,1.853448,0.943581,0.053625,0.053399,42
baseline_0,156,124.8,25,1.0,80,CC-CV,1.843061,1.834141,0.943399,0.053645,0.054367,42
baseline_0,157,125.6,25,1.0,80,CC-CV,1.842707,1.846075,0.943218,0.053664,0.05278,42
baseline_0,158,126.4,25,1.0,80,CC-CV,1.842354,1.828768,0.943037,0.053683,0.054725,42
baseline_0,159,127.2,25,1.0,80,CC-CV,1.842003,1.834546,0.942857,0.053703,0.054337,42
baseline_0,160,128.0,25,1.0,80,CC-CV,1.841652,1.830227,0.942678,0.053722,0.053522,42
baseline_0,161,128.8,25,1.0,80,CC-CV,1.841303,1.854237,0.942499,0.053741,0.055002,42
baseline_0,162,129.6,25,1.0,80,CC-CV,1.840954,1.838456,0.942321,0.05376,0.053592,42
baseline_0,163,130.4,25,1.0,80,CC-CV,1.840607,1.811236,0.942143,0.053779,0.054038,42
baseline_0,164,131.2,25,1.0,80,CC-CV,1.840261,1.835002,0.941966,0.053798,0.05311,42
baseline_0,165,132.0,25,1.0,80,CC-CV,1.839916,1.847907,0.941789,0.053817,0.053865,42
baseline_0,166,132.8,25,1.0,80,CC-CV,1.839572,1.83665,0.941613,0.053836,0.054129,42
baseline_0,167,133.6,25,1.0,80,CC-CV,1.839229,1.842443,0.941438,0.053855,0.052807,42
baseline_0,168,134.4,25,1.0,80,CC-CV,1.838887,1.8603,0.941262,0.053874,0.054837,42
baseline_0,169,135.2,25,1.0,80,CC-CV,1.838546,1.861304,0.941088,0.053893,0.054176,42
baseline_0,170,136.0,25,1.0,80,CC-CV,1.838206,1.809613,0.940914,0.053911,0.054357,42
baseline_0,171,136.8,25,1.0,80,CC-CV,1.837867,1.834288,0.94074,0.05393,0.054125,42
baseline_0,172,137.6,25,1.0,80,CC-CV,1.837529,1.84199,0.940567,0.053948,0.055731,42
baseline_0,173,138.4,25,1.0,80,CC-CV,1.837192,1.836754,0.940395,0.053967,0.053864,42
baseline_0,174,139.2,25,1.0,80,CC-CV,1.836855,1.854129,0.940223,0.053985,0.053982,42
baseline_0,175,140.0,25,1.0,80,CC-CV,1.83652,1.866077,0.940051,0.054004,0.052996,42
baseline_0,176,140.8,25,1.0,80,CC-CV,1.836186,1.823264,0.93988,0.054022,0.054033,42
baseline_0,177,141.6,25,1.0,80,CC-CV,1.835853,1.818727,0.93971,0.05404,0.054537,42
baseline_0,178,142.4,25,1.0,80,CC-CV,1.835521,1.820099,0.93954,0.054059,0.054703,42
baseline_0,179,143.2,25,1.0,80,CC-CV,1.835189,1.851573,0.93937,0.054077,0.055596,42
baseline_0,180,144.0,25,1.0,80,CC-CV,1.834859,1.842819,0.939201,0.054095,0.055636,42
baseline_0,181,144.8,25,1.0,80,CC-CV,1.83453,1.857779,0.939032,0.054113,0.054963,42
baseline_0,182,145.6,25,1.0,80,CC-CV,1.834201,1.837144,0.938864,0.054131,0.053951,42
baseline_0,183,146.4,25,1.0,80,CC-CV,1.833873,1.828606,0.938696,0.054149,0.052844,42
baseline_0,184,147.2,25,1.0,80,CC-CV,1.833547,1.826631,0.938529,0.054167,0.052469,42
baseline_0,185,148.0,25,1.0,80,CC-CV,1.833221,1.818885,0.938362,0.054185,0.055177,42
baseline_0,186,148.8,25,1.0,80,CC-CV,1.832896,1.842582,0.938196,0.054203,0.054275,42
baseline_0,187,149.6,25,1.0,80,CC-CV,1.832571,1.84547,0.93803,0.054221,0.054651,42
baseline_0,188,150.4,25,1.0,80,CC-CV,1.832248,1.830624,0.937864,0.054238,0.053797,42
baseline_0,189,151.2,25,1.0,80,CC-CV,1.831926,1.80927,0.937699,0.054256,0.052957,42
baseline_0,190,152.0,25,1.0,80,CC-CV,1.831604,1.825814,0.937535,0.054274,0.054945,42
baseline_0,191,152.8,25,1.0,80,CC-CV,1.831284,1.809157,0.937371,0.054291,0.053183,42
baseline_0,192,153.6,25,1.0,80,CC-CV,1.830964,1.821726,0.937207,0.054309,0.054548,42
baseline_0,193,154.4,25,1.0,80,CC-CV,1.830645,1.829901,0.937044,0.054326,0.053898,42
baseline_0,194,155.2,25,1.0,80,CC-CV,1.830326,1.836112,0.936881,0.054344,0.054668,42
baseline_0,195,156.0,25,1.0,80,CC-CV,1.830009,1.833278,0.936718,0.054361,0.054499,42
baseline_0,196,156.8,25,1.0,80,CC-CV,1.829692,1.842587,0.936556,0.054379,0.055433,42
baseline_0,197,157.6,25,1.0,80,CC-CV,1.829377,1.819616,0.936395,0.054396,0.05425,42
baseline_0,198,158.4,25,1.0,80,CC-CV,1.829062,1.840446,0.936233,0.054413,0.055501,42
baseline_0,199,159.2,25,1.0,80,CC-CV,1.828747,1.819511,0.936073,0.054431,0.053208,42
baseline_0,200,160.0,25,1.0,80,CC-CV,1.828434,1.839503,0.935912,0.054448,0.05387,42
baseline_0,201,160.8,25,1.0,80,CC-CV,1.828121,1.814248,0.935752,0.054465,0.054403,42
baseline_0,202,161.6,25,1.0,80,CC-CV,1.82781,1.822061,0.935592,0.054482,0.056068,42
baseline_0,203,162.4,25,1.0,80,CC-CV,1.827498,1.825329,0.935433,0.054499,0.053552,42
baseline_0,204,163.2,25,1.0,80,CC-CV,1.827188,1.824518,0.935274,0.054516,0.055949,42
baseline_0,205,164.0,25,1.0,80,CC-CV,1.826879,1.831788,0.935116,0.054533,0.054222,42
baseline_0,206,164.8,25,1.0,80,CC-CV,1.82657,1.823795,0.934958,0.05455,0.053918,42
baseline_0,207,165.6,25,1.0,80,CC-CV,1.826262,1.812554,0.9348,0.054567,0.055359,42
baseline_0,208,166.4,25,1.0,80,CC-CV,1.825954,1.81733,0.934643,0.054584,0.054952,42
baseline_0,209,167.2,25,1.0,80,CC-CV,1.825648,1.823823,0.934486,0.054601,0.054868,42
baseline_0,210,168.0,25,1.0,80,CC-CV,1.825342,1.828608,0.934329,0.054618,0.054901,42
baseline_0,211,168.8,25,1.0,80,CC-CV,1.825037,1.824219,0.934173,0.054634,0.055095,42
baseline_0,212,169.6,25,1.0,80,CC-CV,1.824733,1.823257,0.934017,0.054651,0.055525,42
baseline_0,213,170.4,25,1.0,80,CC-CV,1.824429,1.819793,0.933862,0.054668,0.055626,42
baseline_0,214,171.2,25,1.0,80,CC-CV,1.824126,1.831786,0.933707,0.054684,0.055898,42
baseline_0,215,172.0,25,1.0,80,CC-CV,1.823824,1.824606,0.933552,0.054701,0.054577,42
baseline_0,216,172.8,25,1.0,80,CC-CV,1.823522,1.808414,0.933398,0.054718,0.054584,42
baseline_0,217,173.6,25,1.0,80,CC-CV,1.823221,1.832768,0.933244,0.054734,0.054988,42
baseline_0,218,174.4,25,1.0,80,CC-CV,1.822921,1.82867,0.93309,0.054751,0.055039,42
baseline_0,219,175.2,25,1.0,80,CC-CV,1.822622,1.833984,0.932937,0.054767,0.05387,42
baseline_0,220,176.0,25,1.0,80,CC-CV,1.822323,1.833482,0.932784,0.054783,0.054943,42
baseline_0,221,176.8,25,1.0,80,CC-CV,1.822025,1.796321,0.932631,0.0548,0.055399,42
baseline_0,222,177.6,25,1.0,80,CC-CV,1.821727,1.841936,0.932479,0.054816,0.05374,42
baseline_0,223,178.4,25,1.0,80,CC-CV,1.821431,1.816467,0.932327,0.054832,0.053894,42
baseline_0,224,179.2,25,1.0,80,CC-CV,1.821134,1.803434,0.932176,0.054849,0.05415,42
baseline_0,225,180.0,25,1.0,80,CC-CV,1.820839,1.810331,0.932025,0.054865,0.055126,42
baseline_0,226,180.8,25,1.0,80,CC-CV,1.820544,1.806402,0.931874,0.054881,0.057107,42
baseline_0,227,181.6,25,1.0,80,CC-CV,1.82025,1.811333,0.931723,0.054897,0.054505,42
baseline_0,228,182.4,25,1.0,80,CC-CV,1.819957,1.810341,0.931573,0.054913,0.056127,42
baseline_0,229,183.2,25,1.0,80,CC-CV,1.819664,1.81906,0.931423,0.05493,0.05514,42
baseline_0,230,184.0,25,1.0,80,CC-CV,1.819372,1.816656,0.931273,0.054946,0.053946,42
baseline_0,231,184.8,25,1.0,80,CC-CV,1.81908,1.792619,0.931124,0.054962,0.055733,42
baseline_0,232,185.6,25,1.0,80,CC-CV,1.818789,1.804033,0.930975,0.054978,0.054523,42
baseline_0,233,186.4,25,1.0,80,CC-CV,1.818499,1.796842,0.930827,0.054993,0.055796,42
baseline_0,234,187.2,25,1.0,80,CC-CV,1.818209,1.837557,0.930678,0.055009,0.054665,42
baseline_0,235,188.0,25,1.0,80,CC-CV,1.81792,1.79469,0.93053,0.055025,0.054755,42
baseline_0,236,188.8,25,1.0,80,CC-CV,1.817632,1.810116,0.930383,0.055041,0.054444,42
baseline_0,237,189.6,25,1.0,80,CC-CV,1.817344,1.812566,0.930235,0.055057,0.055601,42
baseline_0,238,190.4,25,1.0,80,CC-CV,1.817056,1.834147,0.930088,0.055073,0.056525,42
baseline_0,239,191.2,25,1.0,80,CC-CV,1.81677,1.828668,0.929942,0.055088,0.055721,42
baseline_0,240,192.0,25,1.0,80,CC-CV,1.816484,1.82466,0.929795,0.055104,0.054122,42
baseline_0,241,192.8,25,1.0,80,CC-CV,1.816198,1.812899,0.929649,0.05512,0.054788,42
baseline_0,242,193.6,25,1.0,80,CC-CV,1.815914,1.811239,0.929503,0.055135,0.055203,42
baseline_0,243,194.4,25,1.0,80,CC-CV,1.815629,1.81866,0.929358,0.055151,0.055268,42
baseline_0,244,195.2,25,1.0,80,CC-CV,1.815346,1.791996,0.929213,0.055167,0.055253,42
baseline_0,245,196.0,25,1.0,80,CC-CV,1.815062,1.817857,0.929068,0.055182,0.055275,42
baseline_0,246,196.8,25,1.0,80,CC-CV,1.81478,1.805526,0.928923,0.055198,0.05496,42
baseline_0,247,197.6,25,1.0,80,CC-CV,1.814498,1.838649,0.928779,0.055213,0.055547,42
baseline_0,248,198.4,25,1.0,80,CC-CV,1.814217,1.799737,0.928635,0.055229,0.05376,42
baseline_0,249,199.2,25,1.0,80,CC-CV,1.813936,1.792829,0.928491,0.055244,0.056409,42
baseline_0,250,200.0,25,1.0,80,CC-CV,1.813656,1.810353,0.928348,0.055259,0.05512,42
baseline_0,251,200.8,25,1.0,80,CC-CV,1.813376,1.808532,0.928204,0.055275,0.055469,42
baseline_0,252,201.6,25,1.0,80,CC-CV,1.813097,1.805213,0.928062,0.05529,0.054796,42
baseline_0,253,202.4,25,1.0,80,CC-CV,1.812818,1.798683,0.927919,0.055305,0.056461,42
baseline_0,254,203.2,25,1.0,80,CC-CV,1.81254,1.793673,0.927777,0.055321,0.055047,42
baseline_0,255,204.0,25,1.0,80,CC-CV,1.812263,1.799734,0.927635,0.055336,0.055187,42
baseline_0,256,204.8,25,1.0,80,CC-CV,1.811986,1.80506,0.927493,0.055351,0.056231,42
baseline_0,257,205.6,25,1.0,80,CC-CV,1.811709,1.807426,0.927351,0.055366,0.055374,42
baseline_0,258,206.4,25,1.0,80,CC-CV,1.811433,1.807318,0.92721,0.055382,0.056309,42
baseline_0,259,207.2,25,1.0,80,CC-CV,1.811158,1.807185,0.927069,0.055397,0.054401,42
baseline_0,260,208.0,25,1.0,80,CC-CV,1.810883,1.818626,0.926929,0.055412,0.054295,42
baseline_0,261,208.8,25,1.0,80,CC-CV,1.810609,1.809582,0.926788,0.055427,0.057212,42
